日文,中文,假名
今,现在,いま
先週,上周,せんしゅう
来週,下周,らいしゅう
再来週,下下周,さらいしゅう
今週,这周,こんしゅう
昨日,昨天,きのう
明日,明天,あした
明後日,后天,あさって
一昨日,前天,おととい
毎日,每天,まいにち
毎朝,每早,まいあさ
毎晩,每晚,まいばん
毎週,每周,まいしゅう
午前,上午,ごぜん
午後,下午,ごご
日曜日,周日,にちようび
月曜日,周一,げつようび
火曜日,周二,かようび
水曜日,周三,すいようび
木曜日,周四,もくようび
金曜日,周五,きんようび
土曜日,周六,どようび
今朝,今早,けさ
今晩,今晚,こんばん
来年,明年,らいねん
去年,去年,きょねん
夜,晚上,よる
晩,晚上,ばん
朝,早上,あさ
学校,学校,がっこう
試験,考试,しけん
仕事,工作,しごと
遅刻,迟到,ちこく
休み,休息,やすみ
出張,出差,しゅっちょう
研修,进修,けんしゅう
旅行,旅游,りょこう
展覧会,展览会,てんらんかい
歓迎会,欢迎会,かんげいかい
パーティー,联欢会
お宅,府上、宅男,おたく
いつ,什么时候
休みます,休息,やすみます
働きます,工作,はたらきます
始まります,开始,はじまります
終わります,结束,おわります
起きます,起床,おきます
寝ます,睡觉,ねます
勉強します,学习,べんきょうします
いつも,经常
北京支社,北京分社,ぺきんししゃ
神戸,神户,こうべ
おはよう,早上好
