日文,中文,假名
ボート,小船
ベンチ,长椅
市役所,市政府,しやくしょ
携帯電話,手机,けいたいでんわ
禁煙,禁止吸烟,きんえん
風邪,感冒,かぜ
熱,发烧,ねつ
睡眠,睡眠,すいみん
お風呂,澡堂,おふろ
薬局,药店,やっきょく
クーラー,空调
火,火,ひ
気,精神,き
打合せ,事先商量,うちあわせ
無理,勉强,むり
駐車禁止,禁止停车,ちゅうしゃきんし
立入禁止,禁止进入,たちいりきんし
火気厳禁,严禁烟火,かきげんきん
撮影禁止,禁止拍照,さつえいきんし
乗ります,乘坐,のります
使います,用,つかいます
座ります,落座,すわります
入ります,进入,はいります
申します,说，告诉,もうします
取ります,取得,とります
歌います,唱,うたいます
伝えます,传达,つたえます
止めます,停,とめます
温かい,温暖,あたたかい
大丈夫,没关系,だいじょうぶ
だめ,不行
十分,好好地,じゅうぶん
もちろん,当然
ゆっくり,慢慢地
もしもし,喂
お大事に,请多保重,おだいじに
いけません,不行
かまいません,没关系
まだです,还没有
気を付けます,注意,きをつけます
無理をします,勉强,むりをします
睡眠をとります,睡觉,すいみんをとります
お風呂に入ります,洗澡,おふろにはいります
