日文,中文,假名
本,书,ほん
かばん,公文包
ノート,笔记本
鉛筆,铅笔,えんぴつ
傘,伞,かさ
靴,鞋,くつ
新聞,报纸,しんぶん
雑誌,杂志,ざっし
辞書,词典,じしょ
カメラ,照相机
テレビ,电视机
パソコン,个人电脑
ラジオ,收音机
電話,电话,でんわ
机,桌子,つくえ
椅,椅子,いす
鍵,钥匙,かぎ
時計,钟,とけい
手帳,记事本,てちょう
写真,照片,しゃしん
車,车,くるま
自転車,自行车,じてんしゃ
お土産,礼物,おみやげ
名産品,特产,めいさんひん
シルク,丝绸
ハンカチ,手绢
会社,公司,かいしゃ
方,敬称,かた
人,人,ひと
家族,家人,かぞく
母,妈妈,はは
お母さん,母亲,おかあさん
日本語,日语,にほんご
中国語,汉语,ちゅうごくご
どなた,哪位
おいくつ,多大
何歳,几岁,なんさい
