日文,中文,假名
プレゼント,礼物
チケット,票
パンフレット,小册子
記念品,纪念册,きねんひん
スケジュール表,日程表,すけじゅーるひょう
写真集,影集,しゃしんしゅう
花,花,はな
お金,金钱,おかね
ボールペン,圆珠笔
宿題,作业,しゅくだい
航空便,航空邮件,こうくうびん
速達,速递,そくたつ
ファックス,传真
メール,邮件
電話番号,电话号码,でんわばんごう
住所,住址,じゅうしょ
名前,姓名,なまえ
件,事件,けん
新聞紙,新闻,しんぶんし
紙飛行機,纸飞机,かみひこうき
チョコレート,巧克力
アイスクリーム,冰淇淋
小麦粉,面粉,こむぎこ
箸,筷子,はし
スプーン,勺子
お兄さん,哥哥,おにいさん
韓国語,韩语,かんこくご
夕方,傍晚,ゆうがた
昼休み,午休,ひるやすみ
もらいます,拿到
会います,见,あいます
送ります,寄,おくります
作ります,做,つくります
太ります,胖,ふとります
出します,寄(信),だします
届きます,收到,とどきます
書きます,画,かきます
貸します,借给,かします
習います,学习,ならいます
あげます,给
かけます,打(电话)
借ります,(从别人)借,かります
教えます,教,おしえます
もう,已经
さっき,刚才
たったいま,刚刚
もう一度,再一次,もういちど
前に,以前,まえに
どうですか,如何
お願いします,拜托了,おねがいします
分かりました,明白了,わかりました
よかったです,太好了
様,大人,さま
