日文,中文,假名
中国人,中国人,ちゅうごくじん
日本人,日本人,にほんじん
韓国人,韩国人,かんこくじん
アメリカ人,美国人,あめりかじん
フランス人,法国人,ふらんすじん
学生,学生,がくせい
留学生,留学生,りゅうがくせい
教授,教授,きょうじゅ
社員,员工,しゃいん
会社員,公司职员,かいしゃいん
店員,店员,てんいん
研修生,实习生,けんしゅうせい
企業,企业,きぎょう
大学,大学,だいがく
父,父亲,ちち
課長,科长,かちょう
社長,社长,しゃちょう
出迎え,迎接,でむかえ
どうも,谢谢
非常,非常,ひじょう
東京大学,东京大学,とうきょうだいがく
北京大学,北京大学,ぺきんだいがく
JC企画,JC策划公司,じぇーしーきかく
北京旅行者,北京旅行社,ぺきんりょこうしゃ
日中商事,日中商社,にっちゅうしょうじ
こんにちは,你好
すみません,对不起
どうぞ,请
初めまして,初次见面,はじめまして
こちらこそ,我才要
そうです,是
ちがいます,不是
わかりません,不知道
