日文,中文,假名
趣味,爱好,しゅみ
特技,特长,とくぎ
興味,兴趣,きょうみ
夢,梦,ゆめ
ギター,吉他
胡弓,胡琴,こきゅう
書道,书法,しょどう
釣り,钓鱼,つり
ドライブ,兜风
編み物,编织品,あみもの
手作り,手工做,てづくり
中華街,中华街,ちゅうかがい
中華料理,中国菜,ちゅうかりょうり
ギョーザ,饺子
皮,皮,かわ
春節,春节,しゅんせつ
獅子舞,狮子舞,ししまい
寮,宿舍,りょう
洗濯機,洗衣机,せんたくき
シャワー,淋浴
おなか,肚子
授業,授课,じゅぎょう
資料,资料,しりょう
フランス語,法语,フランスご
小説,小说,しょうせつ
海岸,海岸,かいがん
冬休み,寒假,ふゆやすみ
キャンプ,野营
みんな,大家
自分,自己,じぶん
全員,全员,ぜんいん
弾きます,弹,ひきます
すきます,(肚子)饿
登ります,登，上,のぼります
集めます,收集,あつめます
浴びます,淋，浇,あびます
ごちそうします,请客
帰国します,回国,きこくします
特に,特别,とくに
おなかがすきます,肚子饿
