日文,中文,假名
料理,饭菜,りょうり
四川料理,四川菜,しせんりょうり
スープ,汤
北京ダック,北京烤鸭,ぺきんだっく
食べ物,食物,たべもの
すき焼き,日式牛肉火锅,すきやき
温泉,温泉,おんせん
お湯,热水,おゆ
水,凉水,みず
浴衣,浴衣,ゆかた
眺め,景色,ながめ
薬,药,くすり
天気,天气,てんき
海,大海,うみ
山,山,やま
紙,纸,かみ
ニュース,新闻
女性,女性,じょせい
お客様,来宾,おきゃくさま
グラス,玻璃杯
歌舞伎,歌舞伎,かぶき
気持ち,心情,きもち
たくさん,很多
辛い,辣,からい
甘い,甜,あまい
塩辛い,咸,しおからい
酸っぱい,酸,すっぱい
苦い,苦,にがい
美味しい,好吃,おいしい
まずい,难吃
熱い,热，烫,あつい
冷たい,凉,つめたい
楽しい,愉快,たのしい
面白い,有趣,おもしろい
つまらない,无聊
広い,广阔,ひろい
狭い,狭窄,せまい
大きい,大,おおきい
小さい,小,ちいさい
忙しい,忙,いそがしい
いい,好
悪い,不好,わるい
素晴らしい,极好,すばらしい
遠い,远,とおい
近い,近,ちかい
高い,高,たかい
低い,低,ひくい
安い,便宜,やすい
難しい,难,むずかしい
易しい,容易,やさしい
多い,多,おおい
少ない,少,すくない
可愛い,可爱,かわいい
真に,真的,ほんとうに
寒い,寒冷,さむい
暑い,天气热,あつい
青い,蓝色的,あおい
白い,白色的,しろい
新しい,新,あたらしい
古い,旧,ふるい
あまり,不太
とても,很
少し・ちょっと,一点儿,すこし・ちょっ
全然,根本,ぜんぜん
ちょうど,正好
天安門,天安门,てんあんもん
万里の長城,万里长城,ばんりのちょうじょう
気持ちがいい,感觉舒服,きもちがいい
