日文,中文,假名
コーヒー,咖啡
コーラー,可乐
お茶,茶,おちゃ
ワイン,葡萄酒
パン,面包
ケーキ,蛋糕
お粥,粥,おかゆ
昼ごはん,午饭,ひるごはん
お弁当,便当,おべんとう
蕎麦,荞麦面,そば
うどん,面条
親子丼,鸡肉鸡蛋盖饭,おやこどん
カレー,咖喱
卵,鸡蛋,たまご
チーズ,奶酪
リンゴ,苹果
イチゴ,草莓
そば屋,荞麦面馆,そばや
テニス,网球
ジョギング,慢跑
サッカー,足球
野球,棒球,やきゅう
申込書,申请书,もうしこみしょ
手紙,信,てがみ
シーディー,CD
音楽,音乐,おんがく
映画,电影,えいが
動物園,动物园,どうぶつえん
パンダ,熊猫
飲みます,喝,のみます
買います,买,かいます
撮ります,拍照,とります
書きます,写,かきます
読みます,读,よみます
聞きます,听,ききます
食べます,吃,たべます
見ます,看,みます
します,做
掃除します,打扫,そうじします
これから,从现在起
じゃあ,那么
いらっしゃいませ,欢迎光临
失礼します,告辞了,しつれいします
失礼しました,打扰了,しつれいしました
行ってまいります,我走了,いってまいります
行ってきます,我走了,いってきます
行ってらっしゃい,你走好,いってらっしゃい
ただいま,我回来了
おかえりなさい,你回来了
かしこまりました,我知道了
お邪魔します,打扰了,おじゃまします
ください,给我
午前中,上午,ごぜんちゅう
