日文,中文,假名
荷物,包裹,にもつ
はがき,明信片
切手,邮票,きって
引き出し,抽屉,ひきだし
アルバム,相册
タバコ,烟草
漫画,漫画,まんが
ガレージ,车库
修理,修理,しゅうり
生ビール,生啤,なまびーる
焼き鳥,烤鸡肉串,やきとり
唐揚げ,油炸食品,からあげ
肉じゃが,土豆炖肉,にくじゃが
ボーリング,保龄球
髪,头发,かみ
象,大象,ぞう
昼,白天,ひる
ほか,另外
かかります,花费(时间，金钱)
咲きます,花开,さきます
泳ぎます,游泳,およぎます
遊びます,玩,あそびます
吸います,吸(烟),すいます
切ります,剪，切，割,きります
大体,大约大概,だいたい
とりあえず,暂且
どのぐらい,多久，多少钱
