日文,中文,假名
船便,海运,ふなびん
書類,文件,しょるい
原稿,原稿,げんこう
記事,报道,きじ
メモ,记录
駅前,车站一带,えきまえ
橋,桥梁,はし
角,拐角,かど
横断歩道,人行横道,おうだんほどう
右,右边,みぎ
左,左边,ひだり
交差点,十字路口,こうさてん
道,道路,みち
ドア,门
電気,电力,でんき
太極拳,太极拳,たいきょくけん
朝ご飯,早饭,あさごはん
晩ご飯,晚饭,ばんごはん
バーベキュー,烧烤
通ります,通过,とおります
急ぎます,急,いそぎます
飛びます,飞,とびます
死にます,死,しにます
待ちます,等待,まちます
売ります,卖,うります
話します,说,はなします
渡ります,过(桥，河),わたります
下ろします,取，卸货,おろします
選びます,选择,えらびます
消します,消除，关(灯),けします
歩きます,步行,あるきます
曲がります,拐弯,まがります
洗います,洗涤,あらいます
出ます,离开,でます
出かけます,出门,でかけます
開けます,打开,あけます
過ぎます,过,すぎます
見せます,给~看,みせます
つけます,开(灯)
降ります,下(车，山),おります
買い物します,买东西,かいものします
卒業します,毕业,そつぎょうします
食事します,吃饭,しょくじします
整理します,整理,せいりします
コピーします,复印,コピーします
暗い,黑暗,くらい
大変,不得了,たいへん
なかなか,相当，很
こう,这样
後で,过会,あとで
それから,然后
すみませんが,对不起...
