日文,中文,假名
デパート,百货商店
食堂,食堂,しょくどう
郵便局,邮局,ゆうびんきょく
銀行,银行,ぎんこう
図書館,图书馆,としょかん
マンション,高级公寓
ホテル,宾馆
コンビニ,便利店
喫茶店,咖啡馆,きっさてん
病院,医院,びょういん
本屋,书店,ほんや
レストラン,餐馆
ビル,大楼
建物,大楼,たてもの
売り場,柜台，出售处,うりば
トイレ,厕所
入り口,入口,いりぐち
事務所,事务所,じむしょ
受付,接待处,うけつけ
バーゲン会場,降价处理大卖场,ばーげんかいじょう
エスカレーター,自动扶梯
服,衣服,ふく
コート,风衣
デジカメ,数码相机
国,国家,くに
地図,地图,ちず
隣,旁边,となり
周辺,周边,しゅうへん
今日,今天,きょう
水曜日,星期三,すいようび
木曜日,星期四,もくようび
